;company;paragraphs;label
50799;predpol;" alexandria: predpol, inc. corporation (california), has been granted trademark (5040682) titled as ""crimewhere"" from the united states patent and trademark office.";
51837;earlens;"inventors: puria; sunil (sunnyvale, ca), rosen; micha (tzur hadassah, il), fay; jonathan p. (san mateo, ca), rucker; paul (san francisco, ca), stone; james (saratoga, ca) assignee: earlens corporation (menlo park, ca) (california)

  alexandria, va: united states patent and trademark office has granted patent no. 9,749,758 on august 29, 2017, to earlens corporation (california) titled as ""devices and methods for hearing""";
52248;hadapt; during the last trading session - investors in teradata corp (tdc) found the counter bleeding as the shares closed down 0.9778% or 0.44 points. the trading commenced at 44.53 and the shares soon toppled to hit a low of 44.21. during this mayhem, the market participants exchanged 1,941,500 shares. the last traded price of the counter was 44.56. the shares had closed the previous session at 45. the 52-week high of the share price is 49.57 which exceeds the current market price by a whopping 9.22%. the 52-week low of the shares is registered at 37.66. technically, the value of 43.58 holds significance as it is the 30-day simple moving average. the trading currency is in usd. teradata corporation stated gains of 557,033 shares or 2.1% in the short interest. the short interest registered from 26,667,592 on december 31,2014 to 27,224,625 on january 15,2015. in terms of floated shares, the shorted positions stood at 18%. the stock has been averaging 1,469,650 shares daily in trading and would need 19 days to cover the shorts. teradata corporation (teradata) is engaged in analytic data solutions, including integrated data warehousing, big data analytics and business applications. the companys data warehousing solutions are consisted of software, hardware, and related business consulting and support services. its solutions integrate an organizations departmental and enterprise-wide data about customers, financials and operations into a single integrated data warehouse. its analytic technologies then transform that data into actionable information. effective july 16, 2014, teradata corp acquired revelytix inc, a sparks-based software development company. effective july 17, 2014, teradata corp acquired hadapt inc, a cambridge-based provider of adaptive analytical platform. in september 2014, the company acquired think big analytics inc. 2014 global data point.;
52388;strongloop;"""apis are a critical ingredient. by bringing together strongloop's node.js capabilities to rapidly create apis with ibm's leadership in java and api management on our cloud platform, we are unlocking the innovation potential of two vibrant development communities.""

 strongloop's node.js capabilities will be integrated into ibm's software portfolio, enabling developers to rapidly build and deliver application programming interfaces (apis) for mobile, internet of things (iot) and web applications in the cloud.

 strongloop ceo juan carlos soto said: ""with this acquisition, the industry benefits from node.js' formal entry into the mainstream enterprise.

  ibm has acquired strongloop, a san mateo-based startup focused on developing apps for software developers via node.js, an open source javascript programming language.

 developers will also benefit from ibm cloud and developer experts who offer technical assistance on creating, managing and monetising apis using strongloop at ibm bluemix garages.

 the company aims to offer global support for the strongloop platform by the second half of next year, with the addition of language translation support for chinese, japanese, french, german, italian, spanish and brazilian portuguese.";
52809;synapdx;related articles:    synapdx snags $6m for autism dx study    biotech grabs $2m to discover biomarkers for personalized autism treatment    genetic test predicts autism risk;
52860;airpush;"android users have already found themselves plagued by creepy ad networks, such as airpush, which without warning will send advertisements to the android notification bar.

 'if airpush (or t-mobile's ad-pushing antic) serves as any indication of users' feelings toward intrusive advertising, it seems that a network like sellaring, despite their sensational promises of wealth for developers (and their impressive arsenal of stock photography), would be poisonous to any apps associated with it.'";
53452;moviepass;"  meanwhile, if you're looking for a new game to sap your attention all weekend, framed 2 serves up another puzzling adventure based around the concept of rearranging comic book panels. and if you need even more options, moviepass lets you see loads of movies in theaters each month for cheap, swim out is a clever new puzzler, and file-sharing favorite droplr finally makes its way to android.  hamilton - the official app  whether you're knee-deep in fandom for hamilton or you aspire to love the broadway phenomenon (but still haven't had a chance to see it), then hamilton - the official app is for you. like most official tie-in apps, it has an array of digital bits related to the subject. here, there's a #hamcam camera that puts themed overlays on your shots, as well as stickers, news, and access to buy merch and tickets.  but the most appealing draw may be the hamilton lottery. for each show, a limited number of tickets are held back and offered to winners of a random lottery, which lets lucky fans buy a pair for $10 apiece. right now, you can only use the app to enter the daily lottery for the los angeles production, and both new york and chicago will be added to the app within the next week or so. if you're near to any of those cities and want to see the show on the cheap, then put this app into your daily rotation.  framed 2  the original framed was one of our favorite games of 2015, so we've been looking forward to the debut of framed 2 ($5) for a long while now. here it is, and it's on sale for just $2 this week to boot. serving as a prequel to the original game, framed 2 largely sticks to what worked so well before: it's a puzzle game disguised as a comic book, with panels that need to be rearranged sequentially to safely move ahead.  you'll drag and drop the panels to help the shadowy hero evade capture or attack, and framed 2 is even more polished and impressively presented than the original. however, if the trial-and-error approach of framed drove you nuts, then this follow-up isn't likely to change your mind. and if somehow you haven't played the first framed, well, it's on sale for only $0.12 right now. you read that right, twelve cents!  moviepass  maybe you've heard of moviepass: it's the subscription service that lets you pay a single monthly fee for the ability to see one film per day at participating movie theaters. however, at the original $50/month price, there were seemingly few takers. but in a dramatic move to build a user base, the company slashed the price to $10/month this week. and since the website has frequently been down since then, we're guessing there's some interest.  the android app is a key part of the experience, as you'll use it to find nearby theaters and select a movie. there are limitations-only 2d flicks, you can't select future dates, and you have to ""buy"" the tickets in person with your moviepass card-but otherwise, you really can pick a flick to go see each and every day. it's an incredible deal for anyone who goes to the movies often, but since at least one big theater chain is already upset about the price drop, you should probably act fast.  swim out  navigating a busy swimming pool might not seem like the most exhilarating game concept, but it actually proves quite clever in swim out ($2.59). you'll start at one point in the pool and need to find your way to the ladder to exit, but in your path are other swimmers, lounging ladies, and little brats eager to make a big splash. and it's your imperative to get out of there without causing a scene.  amusingly, this turn-based puzzler feels a lot like lara croft go and hitman go-it's all about navigating the terrain safely, although the vibe here is super chill. along with noticing and exploiting other swimmers' patterns, you'll need to use the occasional beach ball to stun someone, or watch out for waves that ripple out from a kid's cannonball.  droplr for android  droplr has been a handy resource for several years now, but while there are desktop plugins and an ios client, there hasn't been an official android app... until now, that is. essentially, droplr is a dead-simple cloud sharing service that lets you quickly upload a file and get a sharable link with no fuss. you can log in with your google account or even slack, drop in photos, screenshots, and other files, and then post the links to chat, twitter, or wherever.  like the service itself, the android app is streamlined and effective for speedy drops. the free service comes with some limitations, such as just 10 drops per month and bandwidth caps, but there are pro and business plans available for anyone who comes to rely on droplr.";
54318;simpletuition;id              79002288 description     woman price           $23.0 usd media type      internet country         united states product         student loans productbrand    simpletuition, inc. preview order ad detail;
54498;openfin;"financial desktop application common operating layer openfin has raised usd 15m in series b funding from leading fintech investors, the company said.

 combined with their series a and seed rounds of investments, openfin has raised a total of usd 22m in venture funding.

 openfin uses a modern, open technology stack to create a common operating layer for these applications, enabling rapid development and deployment, while simultaneously improving security.

 its technology powers applications licensed across over 100,000 desktops, including applications from 35 of the world's largest banks and trading platforms. these customers are using openfin to redesign and unify their front-end experience for traders and other end users at banks and hedge funds. applications running on openfin also benefit from an improved time-to-market, dropping application deployment and update time from 6-18 months to ""instant"".

 the technology underpinning openfin is google's chromium engine which runs on windows, mac and linux and provides a highly secure, sandboxed environment.";
54650;soundcure;" soundcure has released its serenade tinnitus treatment system in the us. the therapy is based on the development of s-tones, which consist of customised treatment sounds developed  by hearing researchers at the university of california irvine (uci). tinnitus, or ""ringing ears,"" affects approximately 10 per cent of us adults and an estimated 260 million people globally.";
55612;datiphy;" alexandria, va: united states patent and trademark office has received an application no. 20170013023 for us patent, published on january 12, 2017, by datiphy, inc., titled as ""system and method for tracking and auditing data access in a network environment""  for the registration of patent.

 datiphy, inc. applies for us patent titled as ""system and method for tracking and auditing data access in a network environment""";
55795;datakind;mason is deeply rooted in the new york technology scene and has been an active member of mayor bloomberg's technology and innovation advisory council since 2011. the advisory council is tasked with findings ways that government can help tech companies and start-ups grow and scale in ny. additionally, she serves as an advisor to several ny startups including knod.es, collective, mortardata as well as datakind, a non-profit that brings together leading data scientists with high impact social organisations. she has served as a mentor to betaspring, the providence rhode island-based start up accelerator, and techstars new york. in 2010, mason co-founded hackny, a non-profit dedicated to creating a path for talented students to join new york's creative technical community through events, education, and prestigious fellowships. prior to that she designed statistical models of careers from a resume dataset, for path101.;
55900;wowio;us wowio, an online distributor of digital books and comics, said it had bought wevolt, a social network which targets creators and fans, to help expand towards other media and boost its relation with the comic books sector.;
56472;insightsquared;" boston: insightsquared has issued the following press release: insightsquared, a provider of sales intelligence solutions for high-growth technology companies, debuted as a strong performer in the forrester wave[tm]: enterprise bi platforms with majority cloud deployments, q3 2017 report.

  forrester identified insightsquared as one of the 10 ""most significant"" business intelligence vendors in the report, which analyzed and scored companies on a 22-criteria evaluation in the areas of current offering, strategy and market presence. forrester states in the report that, ""insightsquared differentiates by providing sales intelligence out of the box. ... insightsquared provides two distinct product offerings on top of a single, cloud-native platform aimed at business users. the first one, tiles, leverages deep domain expertise to provide a rich set of out-of-the-box metrics and analytics routines for sales and marketing, including forecasting, by leveraging crm data. the second, slate, a sql-based development tool launched in november 2016, helps bi professionals build custom reports and dashboards, and it is capable of leveraging any data source."" ""we are honored to be recognized as a strong performer by an organization as respected as forrester,"" said fred shilmover, co-founder and ceo of insightsquared. ""we believe our strategy mark, which was among the top four in the evaluation, underscores our ambition to provide all lines of business with ready-made reporting on universal questions and the means to create custom reports on the questions unique to them."" vendors considered in this report must have a bi platform that is sold as separate product, not embedded into a particular industry vertical or a business-domain specific application. the bi platform must be able to ingest, process and analyze data from any data source.";
56513;axtria; berkeley heights, nj: following is the profile of manish mittal managing principal of axtria:  manish in his role as managing principal and head of global delivery, is responsible for building axtria's offshore organization and managing deliveries for global clients. he has more than 20 years of cross functional experience working as business leader for organizations like cognizant, marketrx, mtc, groupe seb, & bel. manish is known for his people leadership and passion for building customer focused performance driven delivery organizations.;
56629;intekrin;evgeny zaytsev established intekrin (russia) in 2012 and served its president and ceo until 2013. evgeny is an entrepreneur and venture capitalist with more than 13 years of venture capital experience at rmi partners, helix ventures and asset management company. while at asset management company, he was one of the early investors in intekrin therapeutics.;
56650;nscaled;news: us-based hybrid cloud infrastructure provider  nscaled has collaborated with  meridian it to deliver end-to-end business continuity and disaster recovery solutions. the solution, built on hybrid cloud architecture, will allow organisations to replace outdated backup, business continuity, disaster recovery and archiving solutions with a comprehensive, proven platform. 'through our partnership with meridian it we can truly protect the most sophisticated it environments, across the board,' said nscaled's vice president of worldwide sales and strategy mark jameson.;
56911;easilydo;easilydo this productivity app also merges your calendar, email and social media networks. like speaktoit, it can remind users of upcoming events (and give a nudge when to leave based on the estimated travel time, while also giving you directions). and, when it reminds you of a birthday or a colleague's announcement on social media, it can help you post a greeting to facebook without leaving the app. easilydo can auto-dial into calls, identify emails that require a response, and even automatically track shipments based on emails you have received. while travelling, it can prompt you with details of your flight and its status, car rental and hotel reservations, and call up your digital boarding pass. this app works for both ios and androidbased devices. a basic version is available for free, but premium and business versions of the app require a monthly fee.;
56943;locaid; the 2015 executive committee members will be: charles marsh, president of the americas region, alcatel-lucent, dr. guy (bud) tribble, senior vice president for software engineering, apple, bret comolli, chairman, asurion, glenn lurie, president and ceo, at&t mobility, at&t, jim mackey, evp, corporate development and strategic planning, blackberry limited, ronald smith, president and ceo, bluegrass cellular, patrick riordan, president and ceo, cellcom, angel ruiz, president and ceo, ericsson, mary chan, president, global connected consumer, gm onstar, bashar nejdawi, executive vice president, ingram micro and president, north america, ingram micro mobility, bruce hyung seock lee, vice president, lg electronics mobile research usa, rip gerber, president and ceo, locaid technologies, stephen elop, executive vice president, devices & services, microsoft corporation, jeff miller, corporate vice president, global sales, motorola mobility, ricky corker, executive vice president of the north american market for networks, nokia corporation, howard wright, senior vice president, business development, qualcomm incorporated, john chiorando, ceo, quality one wireless, mike narula, president and ceo, reliance communications, gregory lee, president and ceo, samsung telecommunications america, marcelo claure, president and ceo, sprint, john legere, ceo, t-mobile usa, f.j. pollak, president and ceo, tracfone wireless, kenney meyers, president and ceo, us cellular, and dan mean, president and ceo, verizon wireless. as previously announced, the 2015 officers will be bluegrass cellular president and ceo ronald smith as chairman, at&t mobility president and ceo glenn lurie as vice chairman, qualcomm incorporated senior vice president of business development howard wright as secretary, asurion chairman bret comolli as treasurer and verizon wireless president and ceo dan mead as chairman emeritus. 2014 global data point.;
57028;vytronus; justin joined nea's healthcare team in 2006 and focuses on medical device, healthcare technology, specialty pharma and biopharmaceutical company investments. he is actively involved with nea's investments as a director of cv ingenuity, phasebio pharmaceuticals, ulthera, vertiflex, and vytronus, and as a board observer for carticept medical, exploramed, moximed, sensors for medicine and science, trivascular, and vibrynt. justin is also a member of the advisory boards for the national venture capital association's medical industry group and its medical innovation and competitiveness coalition (medic). previously, justin worked for the duke university health system, reporting directly to the hospital ceo on health system strategy, finance and clinical service unit operations. in addition, he has worked at latham & watkins llp in menlo park, where he assisted life sciences companies on numerous licensing transactions, regulatory and 14 corporate securities matters. justin recently completed a term on the board of trustees of duke university, and has previously served on the medical center's institutional review board. justin concurrently earned his md from the duke university school of medicine and his jd from harvard law school. he received his ab in economics and his bs in biological anthropology and anatomy from duke university.;
57609;testbirds;" alexandria: testbirds gmbh limited liability company fed rep, has been granted trademark (5262912) titled as ""testbirds"" from the united states patent and trademark office.";
57766;evergage;" combining in-depth behavioral analytics, a full customer data platform and advanced machine learning, evergage empowers marketers to deliver 1:1 personalization in real time across websites, web and mobile apps, onsite search and email campaigns. e-commerce companies use evergage's market-leading platform to better understand and engage their customers, boost loyalty and drive more sales - with evergage powering individualized experiences for more than 2 billion website visitors and application users. ""we are proud and honored to be named 'best e-commerce solution' - recognizing personalization's transformative impact for e-commerce companies, and the power and results of evergage's platform,"" said evergage ceo and co-founder karl wirth. ""as e-commerce marketers look to unify customer data and improve engagement, evergage provides the industry's most advanced and complete personalization platform. this award is a testament to both our talented and dedicated team and our customers' successes, as we remain committed to continual innovation."" judges described evergage as a ""very strong product"" and ""very responsive and dynamic."" they also praised evergage's ""good tools and strategy,"" ""flexibility in testing"" and impressive roi. the siia codie awards are the industry's only peer-reviewed awards program. software and business technology experts - including members of the industry, analysts, media, bloggers, bankers and investors - conducted the first-round review of all nominees to determine finalists. siia members then voted on the finalist products, with scores from both rounds tabulated to select the winners. sixty awards were given this year for products and services developed specifically for b2b software, information and media companies. ""siia's 2017 business technology codie awards recognize the companies that are at the forefront of business innovation,"" said ken wasch, president, siia. ""these companies are shaping the future of how we conduct business, and it is truly an honor to recognize these products through the codie awards.""

  somerville: evergage has issued the following news release:  evergage, the real-time personalization platform company, today announced it has been named ""best e-commerce solution"" in the 32nd annual siia codie awards. hosted by the software & information industry association (siia), the codie awards honor the companies producing the most innovative business technology products around the world.";
58195;globaloria;" terms of the transaction were not disclosed. according to the president's council of advisors on science and technology, economic projections point to a need for approximately 1.0m more stem professionals than the us will produce at the current rate over the next decade if the country is to retain its position in science and technology. globaloria said as part of carnegie learning, it has the opportunity to accelerate fundamental learning and teaching literacies by reaching more students and teachers. globaloria provides computer science courses and pathways that engage students in learning computer science, applied software engineering and coding. its blended-learning platform, course catalog for students and comprehensive teacher-training courses enable prek-12 students to become socially-minded, innovative change-makers through computer science learning programs. carnegie learning, inc. offers mathematics technology, curriculum and services focussed on delivering better mathematics learning to teachers and students. through software, textbooks and professional learning and data analysis services, carnegie learning helps students succeed in mathematics as a gateway to graduation, college and the 21st century workforce. carnegie learning provides mathia software for students in grades six-12 and mika software for college students in need of developmental mathematics support.

 14 september 2017 - pennsylvania, us-based mathematics education company carnegie learning, inc., has acquired new york, us-based computer science education provider globaloria to strengthen mathematics and computer science solutions and improve access to 21st-century stem education, the company said.";
58448;keybase;keybase, another nascent idea, works as a virtual identity card, verifying people using the same underlying bitcoin technology. in addition to confirming people for messages or e- mail, it can also be used to as a certificate of authenticity for files or online video streams.;
58651;madefire; madefire, a motion book tool provider for content creators, has raised $6.5 million in series b funding. the investors included plus capital, kevin spacey, drake, true ventures, big loud capital, anthem ventures and framestore ventures.;
58688;uversity;"uversity's schools app is a private online community for every institution's incoming class. colleges are able to engage with future students through targeted, personalized messaging while gaining unique insight in their likelihood to enroll.

 built specifically for higher education, uversity's products, schools app and uchat, have fostered over 3.9m student connections, helping colleges provide a more personalised and engaging student experience.

 13 july 2015 - us-based crm company targetx has acquired uversity, a us-based mobile and analytics company for enrollment and retention in higher education, the company said.

 uversity provides clients with resources for student-yield, while empowering students to make the most informed decision regarding college choice by creating mobile technology that connects them with the right information and people during the admissions process.";
58791;oncopep;"north andover : following is the company profile of oncopep, inc: oncopep, inc. was founded in 2010 to commercialize a novel approach to developing targeted immunotherapeutics against cancer. the company's proprietary core technology was developed in the laboratory of dr. kenneth anderson, m.d., a world leader in cancer treatment, at the dana farber cancer institute. the technology, which oncopep has exclusively licensed from dana farber, employs a unique combination of proprietary peptides to form a therapeutic cancer vaccine. vaccines developed from this technology are designed to stimulate the patient's immune system to attack his or her cancer through an optimized combination of disease-specific peptides and adjuvants (substances that stimulate the immune system). strong scientific rationale exists for this multi-peptide approach.

  oncopep's lead program, pvx-410, is a multi-peptide therapeutic cancer vaccine that is designed to target specific antigens found on the surface of multiple myeloma (mm) cancer cells. mm is a cancer of the plasma cells for which there is currently no cure.  the initial clinical target is smoldering multiple myeloma, a precursor disease to mm for which there are no approved treatments. pvx-410 was granted orphan drug designation from the u.s. food and drug administration in 2013. the company initiated a phase 1/2a clinical trial in the u.s. for pvx-410 in smoldering multiple myeloma (smm) in january 2013. the study is actively recruiting patients with a confirmed diagnosis of smm. to date, oncopep has been financed by angel groups, family foundations, individuals and the leukemia & lymphoma society (lls). lls' decision to participate in the financing round resulted from a review of oncopep's application for funding from lls' therapy acceleration program (tap), which identifies therapies that have the potential to change the standard of care for patients with blood cancers.";
59196;currensee;"there's plenty of cheap talk on social media's bright future and its potential to turn friends and followers into profit. however, thus far, returns have failed to live up to the hype. except in forex trading, where social networks like currensee and etoro allow you to not only follow and interact with other traders, but also copy them - mimicking the trades of the most successful traders on the internet.

 with in excess of 1.5m users in over 130 countries, etoro traders use its trading platform, while with currensee, chief executive dave lemont explains you can use any platform and they will execute the trade on your behalf in under one second.

 currensee works off the social network of its traders. after due diligence, the chosen few - of the 8,000 members - are selected to become trade leaders who can be followed individually or as part of a broader portfolio of forex traders. so far, $12m (£7.5m) has been invested in its trade leaders investment program since its october 2010 launch - increasing four-fold in three months. trade leaders earn 20 per cent commission from the profits of their followers, while currensee charges 2 per cent. crucially copiers only pay commission to traders on the basis of profits across their whole portfolio.";
59307;wikinvest;" would you trust a web site created by anonymous individuals to give you better advice on stocks than professional advisers? wikinvest hopes so.

 following the model of wikipedia, the online encyclopedia that anyone can edit, wikinvest is building a database of user-generated investment information on popular stocks. a senior at yale writes about the energy industry, for example, while a former stockbroker covers technology and a mother in arizona tracks children's retail chains.

 to try to prevent that, wikinvest, like other wiki sites, requires contributions to be factual and to cite evidence, and it depends on users to quickly remove those that are not. it ranks contributors based on how frequently they write and how often their changes are undone by others. it covers companies only with a market value of at least $100 million because they are more actively traded and less susceptible to price manipulation.

 the site appeals to investors who are knowledgeable and curious about investing and do it themselves, said michiel de boer, director of technology strategy at zecco, an online brokerage firm that licenses wikinvest content.

 wikinvest, which recently licensed some content to the web sites of usa today and forbes, seeks to be an alternative to web portals that are little more than ''a data dump'' of income statements and government filings, said parker conrad, a co-founder.";
59407;universitynow;"the newly-acquired university will launch during the autumn plans for students to gain bachelorâ(euro)(tm)s degrees online for a total of under usd10,600 (eur8,600), including tuition, books, and fees. universitynow noted that earlier in 2012 it had introduced new charter university, the first school in its network of affordable, accredited universities.

 patten will also introduce an flat-rate tuition model. patten and new charter have formed a new dual-admission degree pathway under which students at new charter university can transfer to pattenâ(euro)(tm)s online degree programme and get a regionally accredited degree for less than usd8,000. country: usa sector: business and consumer services target: patten university buyer: universitynow inc type: corporate acquisition status: closed

  9 july 2012 - us higher education specialist universitynow inc said on monday it had taken over private university patten university for an undisclosed sum.

 universitynow further said that dr janet holmgren, former president of mills college, has been named president of patten university. dr holmgren has also held the position of vice provost at princeton university, senior administrator at the university of maryland, college park, and chair of the board of directors of the carnegie foundation for the advancement of teaching.";
60264;qapital;"qapital founder and ceo george friedman was quoted by techcrunch as saying, ""we're going after the 20% or 30% of your income that's spent on crap.""

 in order to ensure hassle free services, qapital uses a smartly-designed pfm app that includes all the usual account aggregation, spending, budgeting and goal-setting tools.

 it is rumoured that qapital has received some money from 15 angel investors, with the company to seek $5m series a round following its launch in the us and sweden.

 however, in creating a qapital savings account - as revealed by techcrunch - the firm is taking the pfm concept one-step further, moving into the territory occupied by disruptive 'bank 2.0' outfits such as moven and simple.

 the service transfers the money from the customers' bank accounts into a savings account known as qapital savings account and managed by qapital's banking partner.

 swedish start-up qapital is gearing up to launch its new financial management app in the us and sweden, which has been designed to enable customers to save money for their specific goals.";
60485;skygiraffe;skygiraffe has raised usd6.0 million in funding to continue expanding the breadth and capabilities of its platform among other initiatives, the company said.the funding round, led by sgvc with participation from trilogy equity partners, also included angel investments from enterprise mobility and security veterans including heroku founder and ceo james lindenbaum, parse founder and ceo ilya sukhar, and lookout founder and cto kevin mahaffey. skygiraffe previously raised usd4.5 million from 500 startups, microsoft ventures, trilogy equity partners and angels.the company has expanded functionality to provide a single, secure endpoint for developers to build on top of the skygiraffe platform, enabling read and write access from enterprise applications such as sap, oracle, salesforce and servicenow. skygiraffe is an end-to-end enterprise mobility platform that enables organizations to mobilize line-of-business systems. sgvc is an early stage venture capital firm focused on partnering with and providing resources to entrepreneurs in their pursuit to transform and abstract large and opaque industries across: business to business, enterprise software, financial and real estate technology.;
60929;hyperverge;" alexandria, va: united states patent and trademark office has received an application no. 20160358024 for us patent, published on december 08, 2016, by hyperverge inc. (california), titled as ""systems and methods for image processing""  for the registration of patent.";
60990;jobr;jobr and networkr are two apps that use swiping to help you find employment. networkr works with your linkedin profile and uses tinder's matchmaking idea to connect both parties only if they are interested in each other. jobr lets searchers move through postings, while recruiters can look at seekers in the same manner.;
61801;agrible;"agrible and ab inbev are leaders in the market of connecting farmers with real-time data and insights straight from the field.

 agrible is an agtech startup that began here at the research park and is aiming for better and more productive crop production while working toward the goal of a sustainable food supply for the future. it supplies products to growers worldwide that help them access better data and run farms more efficiently.

 anheuser-busch inbev lab and agrible, inc., both located in the research park, are partnering up. the goal of the partnership is to improve barley production while simultaneously minimizing environmental impact. this partnership will make it easier for farmers around the world to access better data and predictive analytics on crop management and climate effects.

 now, the two companies will merge technology to make the products even more effecient. agrible will allow ab inbev to access it's product, morning farm report, to enhance smartbay. the companies will also work together on the goal of sustainability in areas like water use, land efficiency, and the carbon footprint.";
61956;spotflux;balcar's spotflux 2 and 4 are fluorescent spotlights, used to create shadows and generally increase contrast. while most fluorescent soft lights spread an area evenly with light, the spotflux is used instead of a standard slightly diffused fresnel spot, as a key light, accent light or hair light. the lighting angle depends on the chosen reflector. spotflux can illuminate a specific zone at two to six metres distance. spotflux 2 and 4 are dimmable using a regular phase dimmer or dmx signal. reflectors are available in 30, 45 or 60 cm diameter.;
62265;hypori;" reston: intelligent waves llc has issued the following news release: intelligent waves llc announced today that it has acquired the virtual mobile infrastructure (vmi) technology and associated intellectual property of austin, texas based hypori, inc. the strategic purchase is a part of the company's ongoing development of its specter capabilities, an obfuscation and security technology solution enabling command and control (c2) capabilities in the federal, intelligence, and military communities. the addition of hypori's virtual platform will give secure, protected cloud-based functional command, control, and mobility to the federal government from anywhere in the world.

  meeting the needs and requirements specific to federal agencies, the technology is currently the only certified mobile virtualization option for use in the u.s. government. hypori is the first vmi to receive the federal information processing standards (fips) 140-2 level 1 certification for cryptographic modules from the national institute of standards and technology (nist), along with common criteria for information technology security evaluation certification from the national information assurance partnership (niap), and is the only on the national security agency (nsa) commercial solutions for classified program (csfc) components list. moreover, hypori is the only vmi vendor to meet requirements for the nsa mobile access capabilities package. the benefits to virtualizing mobile devices are becoming more understood within the defense community. running applications and processing data in remote data centers or secure cloud environments prevents lost, stolen, or hacked devices. the hypori virtual platform secures data and applications that would otherwise be vulnerable when stored on a physical mobile device. ""the acquisition of hypori's virtualization mobile infrastructure enables us to accelerate and enhance our mission of providing a secure, end-to-end communications solution for our u.s. government customers,"" said jared shepard, president and ceo at intelligent waves. ""i believe that this technology incorporated with specter encryption and security technologies will change the way the fed communicates.""";
62484;manywho;"boomi said it plans to keep manywho's employees and existing operations, and will continue to invest in additional engineering, channel, marketing, professional services, support and sales capability to grow this business.

  us-based pc maker dell inc's dell boomi cloud integration platform has completed a transaction to acquire unified cloud and low-code development platform manywho , the company said.

 boomi is a cloud integration platform. manywho is rethinking the way businesses manage workflow automation. together, the boomi platform offers a solution where customers can move, manage, govern and automate data and processes in a unified way.

 manywho is designed to simplify workflow automation and allows businesses and developers to turn business processes into rich software applications to connect employees, customers and core systems.

 with the addition of manywho, the boomi platform provides customers with the enabling technology to address the challenges of hybrid it.

 dell boomi (boomi), an independent business unit of dell, accelerates business agility by integrating the information organisations need whenever and however they need it. country: usa sector:  it/online services target:  manywho buyer:  dell boomi vendor: deal size in usd: type: corporate acquisition financing: status: closed buyer advisor: , , comment:  terms of the deal were not disclosed

 adding themanywho low-code capabilities to boomi's market-leading integration platform accelerates the company's ability to deliver workflow automation to customers on a unified platform, something no other company can match.";
62566;packback;"ms. tenuta and packback's co-founders - kasey gandham, nick currier and mike shannon - have also garnered support in other ways. the company works with 1871, a business incubator in chicago that offers classes, co-working spaces and access to venture capitalists.

 ms. tenuta did not disclose her company's sales revenue but said the firm expects to have 30,000 students using packback in the 2016-17 school year, up from 10,000 students in the previous year.

 ''we've been in seven office spaces since we were founded four years ago,'' said jessica tenuta, a co-founder and head of design of packback. ''shradha showed us how to hire and incorporate our values while mentoring us. we made great connections while being in their space.''

 packback now has 24 employees and a $250,000 investment from mark cuban, who took a 20 percent stake in the company after the co-founders presented on the reality show ''shark tank'' two years ago.

 for instance, contextmedia provided office space to packback, which offers online learning communities and digital textbooks for college students. ms. agarwal and contextmedia employees often interacted with the firm's workers to offer advice.";
63281;credifi;global brainâhas participated in the us$13 million fund raising undertaken by credifi corp, a us-based big data platform for the commercial real estate finance industry. separately,âsquare peg capital pty ltdâhas joined the us$15 million series b financing of the australia- based rokt, a digital marketing technology firm. (usa, israelâ&âaustralia) (investments);
63324;perceptimed;" alexandria, va: united states patent and trademark office has received an application no. 20160085940 for us patent, published on march 24, 2016, by perceptimed, inc. (california), titled as ""medication verification and dispensing""  for the registration of patent.";
63872;apploi;" alexandria: apploi corp. corporation (delaware), has been granted trademark (5210251) titled as ""a"" from the united states patent and trademark office.";
63941;utterz;"connections automatically post voice, video, pictures and text instantly, on command, making utterz a multimedia communication solution for anyone who has a blog, social network, or web site.

 utterz, a service that lets anyone connect with their social circle instantly, with voice, video, picture, and text from a mobile phone or online at utterz, announced several new utterz connections including youtube, livespaces, drupal, yahoo! groups, and twixtr.

 ""utterz makes multimedia communication incredibly simple,"" said michael bayer, chief executive officer of utterz. ""pick up your cell phone or other mobile device, and in just seconds you can create a multimedia message that posts simultaneously to multiple sites, including youtube, blogs and your favorite social networks like facebook. this saves users significant time and data charges. you can capture and share an experience, thought, or funny moment anywhere, any time because utterz works with every cell phone without requiring any special software on your phone.""

 utterz also has connections to wordpress, blogger, livejournal, typepad, moveabletype, twitter, tumblr and flickr, and supports posting multimedia to almost any social network or web page with utterz widgets. utterz also has a facebook application and uses open web standards to bring new services to market.

 the company said that people throughout the world are posting on-the-scene in voices, pictures, videos and text, including interviews while traveling or at conferences and festivals like sxsw (south by southwest) in austin, tx, or even from the polls during the presidential primaries. during the ohio primary, for example, the ohio election justice campaign encouraged voters to use utterz to report issues at the polls directly from their cell phones. utterz stated that users can easily add text, pictures, and voice introductions to create better context for their videos.";
64208;pathmatics;" alexandria, va: united states patent and trademark office has received an application no. 20170236157 for us patent, published on august 17, 2017, by pathmatics, inc. (california), titled as ""systems and methods for generating and maintaining internet user profile data""  for the registration of patent.";
64360;logfuze;at logfuze, which provides analytics to oil and gas majors in the us and solar energy companies in india, data and iot is used for remote monitoring of pipelines and storage devices.;
